ProcessName,Processpath,Module,Hash,Signature
cmd,C:\windows\system32\cmd.exe,C:\windows\system32\cmd.exe,935C1861DF1F4018D698E8B65ABFA02D7E9037D8F68CA3C2065B6CA165D44AD2,NULL
cmd,C:\windows\system32\cmd.exe,C:\windows\System32\KERNEL32.DLL,1E33D241F5B247E9B8FBA73967EDDDADA0B197E9577334BBC5548EA9D802E3D8,NULL
cmd,C:\windows\system32\cmd.exe,C:\windows\System32\KERNELBASE.dll,B912E8D775359012DAF561051D21CCF838B54BD3519F71E6BCD6CB7C5AB8C848,NULL
cmd,C:\windows\system32\cmd.exe,C:\windows\System32\msvcrt.dll,C693DA0EF4DCF3BC244661B9FD280FE12C3053FDD7B977712C0CF210831B2EF4,NULL
cmd,C:\windows\system32\cmd.exe,C:\windows\SYSTEM32\ntdll.dll,768B03B5FFD542E935D0F0F50809349147392FCA81D836A57F875DDB84875C3C,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\advapi32.dll,C88EB32E0E06D9DAAB48A123212FE341B303613B4D9AB2F330B96357C722BD58,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\bcryptPrimitives.dll,676475F2363D5134E1E6FD936657B6F753830E142392D2D3A37467E6800281BA,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\cfgmgr32.dll,071E00374806E043A2E78E88C7FDDCE8F5983DE665DF41F3B3210660BF2EF704,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\combase.dll,447FEA906B582FB639DEB5FB8890E0FDDB27E913C5AEB67E34BE26085A5D7540,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\system32\conhost.exe,046F7A1B4DE67562547ED9A180A72F481FC41E803DE49A96D7D7C731964D53A0,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\SYSTEM32\ConhostV2.dll,6B5240C0D6F5C1E87A7713CAB668FA9DB0E54492441979ACBD7EA9323724C1B8,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\GDI32.dll,23E2C55C4CBB4E8E7644BD42929BECA074445546D611A29AB6047214EF087020,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\gdi32full.dll,1B8346DF1321B42978B05936B57BAA1F3AE8262D87893D40E6C1C4CA5C1895FA,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\IMM32.DLL,59C87761AD509BD096C2F35257C2370FB94B95160CB63FB9E66DFD8210AB002A,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\kernel.appcore.dll,D4F178583F6F33794D42B4DB11008494E9CD9F069C2AD2CA304DA63F9B5F659C,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\KERNEL32.DLL,1E33D241F5B247E9B8FBA73967EDDDADA0B197E9577334BBC5548EA9D802E3D8,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\KERNELBASE.dll,B912E8D775359012DAF561051D21CCF838B54BD3519F71E6BCD6CB7C5AB8C848,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\MSCTF.dll,F222A25EE668D83ABBE5F5348635B6959BE3437AA31E36B01544BBD5BD809814,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\msvcp_win.dll,959A084ED6B3897591981AD3606FC04DB7ECDDF479AECA3EC5A3368663FFFD1B,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\msvcrt.dll,C693DA0EF4DCF3BC244661B9FD280FE12C3053FDD7B977712C0CF210831B2EF4,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\SYSTEM32\ntdll.dll,768B03B5FFD542E935D0F0F50809349147392FCA81D836A57F875DDB84875C3C,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\OLEAUT32.dll,F0D9B6E41F9505090EB41AB540A77421B51412DBC4391250A5ED335A51BEE4E9,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\powrprof.dll,76EB0FCA87C3AD5FA1C46EB0AF88CF85E172525029E33F5DFC5645EF2EE6F575,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\profapi.dll,C40F6AA73073995E05E5379AE593A6617E8296C79A78BD7F716D95F98AE0D899,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\PROPSYS.dll,7636E0E40F3FF60DC411EA56294ED1D3F9793C77C9EDD4E03E1B1E184A50CE2E,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\RPCRT4.dll,D193474F16FEEE6291F6B55BFE5CACED0EA8CD0D1BF3805EC4313601FB9D30F8,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\sechost.dll,17EA4904C5CA0E05066DBEDE2B16E16F9A3FC1993AC50D1C3DF8BD75E7A8C7F0,NULL
