ProcessName,ProcessID,ParentProcessName,ParentProcessID,Path,CommandLine,StartTime,User,SID,Domain,(E)LocalIP,(E)LocalPort,(E)RemoteIP,(E)Remoteport,(L)LocalIP,(L)LocalPort,(L)RemoteIP,(L)Remoteport
System Idle Process,0,System Idle Process,0,NULL,NULL,07/14/2020 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,
System,4,System Idle Process,0,NULL,NULL,07/14/2020 00:00:00,NULL,NULL,NULL,10.50.25.100,5985,10.50.26.26,53317,10.50.25.100,139,0.0.0.0,0
smss.exe,256,System,4,NULL,NULL,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,10.50.25.100,139,0.0.0.0,0
csrss.exe,344,,,NULL,NULL,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,10.50.25.100,139,0.0.0.0,0
wininit.exe,412,,,NULL,NULL,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,49664,0.0.0.0,0
csrss.exe,420,,,NULL,NULL,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,49664,0.0.0.0,0
winlogon.exe,468,,,C:\windows\system32\winlogon.exe,winlogon.exe,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,49664,0.0.0.0,0
services.exe,548,wininit.exe,412,NULL,NULL,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,49669,0.0.0.0,0
lsass.exe,556,wininit.exe,412,C:\windows\system32\lsass.exe,C:\windows\system32\lsass.exe,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,49665,0.0.0.0,0
svchost.exe,640,services.exe,548,C:\windows\system32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,49665,0.0.0.0,0
svchost.exe,700,services.exe,548,C:\windows\system32\svchost.exe,C:\windows\system32\svchost.exe -k RPCSS,07/14/2020 00:00:00,NETWORK SERVICE,S-1-5-20,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,135,0.0.0.0,0
svchost.exe,800,services.exe,548,C:\windows\System32\svchost.exe,C:\windows\System32\svchost.exe -k netsvcs,07/14/2020 00:00:00,SYSTEM,S-1-5-18,NT AUTHORITY,10.50.25.100,5985,10.50.26.26,53317,0.0.0.0,49668,0.0.0.0,0
