Process,Processpath,DLL,DllHash,Signature
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\advapi32.dll,FAE7F170429952777D45641E68F4E0B8E5CE31A38159179CB17B2CB84D8E63F0,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\ApplicationFrame.dll,63F3E1044DFA3853F4D0713C651E4E84FA7892B2FFA8E320A0314946527FB61F,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\system32\ApplicationFrameHost.exe,010A39F2C33B3DF513C599E951B61AFC8299C85B60C86E957E9DA17C1CD5655A,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\Bcp47Langs.dll,2388FFA2B7B7FCEFA2848AD78E0CE6DDA08110EBC535A5D7F1D1E5D3D2395FC3,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\bcp47mrm.dll,1EEB10637C8AF3FC27CDED1DCF92D23E2856C94C6AD966F446ACDAC285D83C9E,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\bcrypt.dll,4682B99FD63617241BDE436554C5B9D2BA0247BE4ED958EF05785D1A12E50E01,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\bcryptPrimitives.dll,045679986C4ECB5D3148B3303076EDF2FEC47F52C775F9F077106830426DC6D0,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\cfgmgr32.dll,DF1C3927C42A1C7B8B5EA009783BB3FCB1FF48FC8542A1EF5D18ECAF78AD5D3E,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\clbcatq.dll,C5D4F3DFA14DEABD6A845E6F0B04C39A9A539C1A4D6C71B25943EB9BF9C9A3F5,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\combase.dll,8BADF8E4E018394A9003BE5428A7420A534E7265CC6F545AF1EF2AFB532ED4E4,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\CoreMessaging.dll,ACEFEF067FC983E6827C542FAF4CB4360CAFCEF556C76F53E53FFB3D66212033,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\CoreUIComponents.dll,67479437FF151396BB2C5B86338A3F17279C80AE4D374D5AC1B88B2720D307CE,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\CRYPT32.dll,12AE93F2B5CB784E9DCA1958AB75900A7A879EDCEE7F33959BCF1772ECD4F718,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\cryptsp.dll,78D6A1CD068F5DE2A3DE7F83A975667FA332AA65EC59DD5991CEA1D021BD47C5,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\system32\d2d1.dll,82223F20686932236B15B3278D85E5A92BB333C616C3FA11AD08EF25464141FC,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\d3d10warp.dll,E4980438DC8AA1AABE5287A01A093B655B1D07743E6BC95C8903722CCBD16E0B,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\system32\d3d11.dll,4AA54CA27B1192DFE35459562694485942B3197E112B7E872805E1CBDCD9793C,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\dcomp.dll,FD9AC7CC5526904B0375922A678CF85B10F2E2D6C66BD1FD78E16257279CCB60,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\DEVOBJ.dll,675F56EA3CA673C52D4EA2F478DDEF3F660A8E426F5999CE8CE345B5FE306362,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\dwmapi.dll,4643CD13ACE4583FFC5F6E77B28DED3786B89763E14AFCE7662389DB473B0A61,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\dxgi.dll,7D64C315F059CCD56B4A0C760EE9043640B60A0F762F92D5058DB579846F70FE,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\GDI32.dll,9E349F813AF29D06EAB70B2D5C547762A101E0C6924C4FE69D52E596E0EE44F7,NULL
